dataset,seed,train_frac,budget,budget_value,model_type,trainable_params,total_params,tune_time,train_time,val_mse,test_mse,test_mae,test_r2
lorenz,45,0.9,small,1000,pyreco_standard,300,1450,104.09860682487488,3.087844133377075,0.00029075582693808535,0.0003843415468719364,0.014232549628051488,0.9996864076325563
lorenz,45,0.9,small,1000,lstm,952,952,28.010716199874878,27.98706078529358,0.19947428786807048,0.19111306958372978,0.32669718472355497,0.8440668191405646
lorenz,45,0.9,medium,10000,pyreco_standard,900,10350,776.4316720962524,22.406346082687378,0.00015425056576952968,0.00014743704780239498,0.008455300279157958,0.9998797030057106
lorenz,45,0.9,medium,10000,lstm,10052,10052,33.983762979507446,33.9451858997345,0.10899158682551131,0.10944559245913707,0.2532995527429746,0.9107010347310565
lorenz,45,0.9,large,30000,pyreco_standard,1500,27250,2035.1122679710388,58.779195070266724,0.00018666809835153836,0.0001097598590246668,0.007496688091945235,0.9999104446180176
lorenz,45,0.9,large,30000,lstm,29939,29939,30.109413146972656,30.063525915145874,0.06768720209360146,0.07157841726292366,0.22580727600593628,0.9415976609605886
lorenz,46,0.5,small,1000,pyreco_standard,300,1450,54.62044906616211,1.5969200134277344,0.0014640832514919663,0.0005845491594736873,0.016381766298008686,0.9996350495247778
lorenz,46,0.5,small,1000,lstm,952,952,14.143507957458496,14.12010908126831,0.3952892557794971,0.3169333099725672,0.4118896964310276,0.8021296238071894
lorenz,46,0.5,medium,10000,pyreco_standard,900,10350,423.3428249359131,12.217290163040161,0.0009745599414330182,0.0004849107920676105,0.01578696477104878,0.9996972565589439
lorenz,46,0.5,medium,10000,lstm,10052,10052,20.37721300125122,20.365496158599854,0.2225109869757028,0.1946829104984106,0.3630535148437458,0.8784539853448471
lorenz,46,0.5,large,30000,pyreco_standard,1500,27250,1109.3522498607635,31.74079704284668,0.0010133740203671473,0.00040804285916333635,0.01364565102838223,0.9997452473706459
lorenz,46,0.5,large,30000,lstm,29939,29939,20.67121386528015,20.629777193069458,0.2949730953984879,0.2643691717874212,0.40504994759308954,0.834946893149582
lorenz,46,0.7,small,1000,pyreco_standard,300,1450,81.31228995323181,2.3974201679229736,0.00031771177050430704,0.0003437848500645421,0.01374842951719718,0.9997489512453838
lorenz,46,0.7,small,1000,lstm,952,952,29.09129762649536,29.064122915267944,0.14350957625934563,0.17446762467345014,0.3388734418782397,0.8725950841437662
lorenz,46,0.7,medium,10000,pyreco_standard,900,10350,607.0534610748291,17.59110927581787,0.00020157399199026644,0.0003790845232049181,0.013474370200476692,0.9997231736726414
lorenz,46,0.7,medium,10000,lstm,10052,10052,37.887194871902466,37.84851813316345,0.08314848523462418,0.10685100627443787,0.26160669119259733,0.9219720937392901
lorenz,46,0.7,large,30000,pyreco_standard,1500,27250,1561.358874797821,44.62233591079712,0.00028040392462242754,0.0003463908964233968,0.012432827926392732,0.9997470481810319
lorenz,46,0.7,large,30000,lstm,29939,29939,31.556814908981323,31.51496410369873,0.08922911609237119,0.1224733559172509,0.27538648847255115,0.9105638789175168
lorenz,46,0.9,small,1000,pyreco_standard,300,1450,103.62315511703491,3.065276861190796,0.0002625498976952702,0.00022664786405769571,0.010277703824337124,0.9998150732314933
lorenz,46,0.9,small,1000,lstm,952,952,43.78828573226929,43.76377582550049,0.11625408267808841,0.11221948992897803,0.27590447331016693,0.9084377533301958
lorenz,46,0.9,medium,10000,pyreco_standard,900,10350,773.9557430744171,22.4588041305542,0.00014321332810417997,0.00017058737911431615,0.009145324357260195,0.9998608141625389
lorenz,46,0.9,medium,10000,lstm,10052,10052,40.76941633224487,40.73109197616577,0.11775847427069103,0.1225913894282731,0.27937010942518636,0.8999751019584072
lorenz,46,0.9,large,30000,pyreco_standard,1500,27250,2009.9977750778198,58.149011850357056,0.00015759744311325991,0.00010418140885991282,0.0069498273943040265,0.9999149961930635
lorenz,46,0.9,large,30000,lstm,29939,29939,39.23255801200867,39.15310597419739,0.07913276451928383,0.08854594762689551,0.2510667781830019,0.9277534953744981
mackeyglass,42,0.5,small,1000,pyreco_standard,100,1150,50.279250144958496,1.4101998805999756,0.009601731130944403,0.011067781782648067,0.08670750390938921,0.9888890663056493
mackeyglass,42,0.5,small,1000,lstm,872,872,47.213696002960205,47.18578004837036,0.10883742947890356,0.10993501779149223,0.27996936844081205,0.8896363591769082
mackeyglass,42,0.5,medium,10000,pyreco_standard,300,9450,404.0757040977478,11.827375888824463,0.010144525950381594,0.011283176617698638,0.08824194265258678,0.9886728316727887
mackeyglass,42,0.5,medium,10000,lstm,9772,9772,28.10607385635376,28.027656078338623,0.11208344733447516,0.10512387340386356,0.26172866292163116,0.894466261621199
mackeyglass,42,0.5,large,30000,pyreco_standard,500,25750,1081.4210267066956,30.806006908416748,0.009124083322541108,0.010890091772998227,0.08605954840699909,0.9890674491066604
mackeyglass,42,0.5,large,30000,lstm,29449,29449,39.863994121551514,39.69036817550659,0.10818307969662813,0.10964924183550735,0.2497455147477865,0.8899232493379851
mackeyglass,42,0.7,small,1000,pyreco_standard,100,1150,72.19970989227295,2.0558080673217773,0.008772366098017112,0.007415906925020966,0.07009351745489821,0.9925797135421536
